dates,ids,names,monthly_listeners,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,playlists_found,feat_track_ids
02/04/2024,7Ip2u3e5Nv6fFb5xyIHxEE,dev,571737,61,248417,dance pop,2012,2024,20,1,Throwback Workout,4DvhkX2ic4zWkQeWMwQ2qf
02/04/2024,4GITZM5LCR2KcdlgEOrNLD,the foundations,6571495,62,103163,bubblegum pop,1967,2024,20,4,Ultimate Party Classics,1tfZtA15BfJHQTUy3dqTKC
02/04/2024,37M5pPGs6V1fchFJSgCguX,finneas,7732229,67,1930359,"alt z, la indie, pop, pov: indie",2018,2022,20,1,Chill Pop,2769RhOZs0ezRncRW1vryp
02/04/2024,1lUJB2u64xeYmvpGeoIuR6,ortiga,33557,28,9721,galego,2019,2024,20,1,GLOW,7hGDliN9NfDpZkJMFikSZj
02/04/2024,2RdwBSPQiwcmiDo9kixcl8,pharrell williams,36280997,79,4407695,"dance pop, pop",2006,2024,20,1,Ultimate Party Classics,"60nZcImufyMA1MKQY3dcCH, 2Foc5Q5nqNiosCNqttzHof, 2NBQmPrOEEjA8VbeWOQGxO"
02/04/2024,7giUHu5pv6YTZgSkxxCcgh,edward sharpe & the magnetic zeros,6116777,63,1011992,"la indie, stomp and holler",2006,2016,11,1,Sunrise Run,5uGXVcOINWmyUzpz0lKq7m
02/04/2024,7pwufEBGfggjoI8twqlsmQ,nessa barrett,4503193,66,1270891,"alt z, social media pop",2021,2024,20,2,Chill Pop,3eGIiMTMZduPDb4MN0NTqD
02/04/2024,3BmGtnKgCSGYIUhmivXKWX,kelly clarkson,20065313,73,10266714,"dance pop, pop, talent show",2003,2024,20,2,Women of Country,"0XVBahLtPyfg5m1LxPxRTd, 3xrn9i8zhNZsTtcoWgQEAd"
02/04/2024,5WRElKaZsn1tGnrgmJVAeO,cam,1029851,51,280624,"contemporary country, modern country rock",2013,2021,17,1,Country Gold,"2zhk0kypGeOPsaaZcjyc14, 2zhk0kypGeOPsaaZcjyc14, 6rIIhxmidzI07z1kgiOqY8"
02/04/2024,3GXxRsiCLmZvM5oSeHbNdO,lim jae hyun,120334,41,46512,"k-pop ballad, korean pop",2018,2024,18,2,노래방 인기가요 (Singing Room K-Pop),3HIDWyZGwSe5MhrSP890nc
02/04/2024,0LhHRmSd1EYM5QdNeNnCoQ,darude,4167745,59,197282,"eurodance, finnish edm",2000,2023,20,2,Hardstyle Bangers,7qK0mNHVdVbnqt3Prd26Vs
02/04/2024,1gYlQ5LjfQz9QPaCApCsDZ,mackenzie carpenter,305002,44,12354,"modern country pop, texas country",2022,2024,10,1,Women of Country,0svx82ZXx8NlIwf7hihUNa
02/04/2024,7Lhw1kKfHHKBfcvMSD3DLl,yln foreign,36546,27,8143,k-rap,2020,2023,20,5,KrOWN,6DJpnE5UQZi7zIZIVYwnMe
02/04/2024,3oSJ7TBVCWMDMiYjXNiCKE,kane brown,15530921,74,5313264,"black americana, contemporary country, country, country road",2016,2024,20,1,Country Gold,"7zVCrzzEJU7u24sbJPXA5W, 30RZAuEkYeDXvy46Iv6l7E, 1HXy5I3HTWq8OvxCn0z7G7, 5f1joOtoMeyppIcJGZQvqJ"
02/04/2024,64k5e9kV9MdukXjFrR5R37,jessi,2389696,58,2200115,k-pop,2005,2023,20,1,KrOWN,0sedpruW5fiIKDyDNKa6rp
02/04/2024,25IG9fa7cbdmCIy3OnuH57,the chicks,4974738,66,1404883,"contemporary country, country, country dawn",1998,2020,10,1,Women of Country,"3rXCZRMiMZp0feGcYXpwYX, 6cjwec9ii5uLK7CDfPBYt1"
02/04/2024,5T0MSzX9RC5NA6gAI6irSn,estelle,6028267,66,283294,"neo soul, r&b",2004,2023,20,1,Ultimate Party Classics,6etwirSInfuJrSOlogS6Sh
02/04/2024,4pZOG8ump4odtJJA4Cy7S8,haley joelle,1109576,52,94494,"alt z, gen z singer-songwriter",2021,2024,20,1,Chill Pop,0NZ95zuvvves6AI83A9W0S
02/04/2024,4BYxqVkZyFjtik7crYLg5Q,chris young,5857021,67,2740289,"contemporary country, country, country road",2006,2024,20,1,Country Gold,0H04yVa3DJxoXbLBpAb7iV
02/04/2024,1rVGJZbfXkVcGv0qpOprl2,chu seo jun,7627,22,3798,korean trap,2020,2023,9,6,KrOWN,4qhUSmpm9aevBgRcYn12PC
02/04/2024,31W5EY0aAly4Qieq6OFu6I,a boogie wit da hoodie,18727041,79,8037503,"melodic rap, rap, trap",2016,2024,20,2,Singled Out,1NIYStZPXSEwxoeX28lK5e
02/04/2024,0zOcE3mg9nS6l3yxt1Y0bK,the fray,11630821,70,3959269,"neo mellow, piano rock, pop, pop rock",2005,2016,18,3,Feel Good Acoustic,2IQvTnOS1sicZ3plBZL6KR
02/04/2024,5WKUZJPvN1SScyggtPFShK,nerd connection,217489,45,71269,korean indie rock,2018,2023,19,2,노래방 인기가요 (Singing Room K-Pop),"3TQHPUEVdvdq8ejwEcHUlL, 423WHvB4mKprM6hELzpH3F"
02/04/2024,2gZzTzeACSwFqkMroVxmnm,darren styles,1455060,56,126755,"happy hardcore, hardcore techno",2008,2024,20,1,Hardstyle Bangers,2d9EgBM9F09IkEG8t9T6L8
02/04/2024,2yLzlEFtIS0Q9UkyBZdQA7,jessie murph,10959719,73,905041,"modern country pop, singer-songwriter pop",2021,2024,11,1,Breakout Country,2kE2HFBFkJ0VMw3igxYohz
02/04/2024,0uQBEPm8cAptCNmTWhio8o,alex hall,148297,35,5133,country pop,2019,2023,10,1,Country Drive,6LCY0s8iDoooe8eMkdEQMu
02/04/2024,2JDfkwLPoHoH1EKw6Og6uH,m1nu,28662,28,7622,k-rap,2019,2024,18,1,KrOWN,6DJpnE5UQZi7zIZIVYwnMe
02/04/2024,0TImkz4nPqjegtVSMZnMRq,tlc,14819245,69,3877948,"atl hip hop, contemporary r&b, dance pop, girl group, hip pop, r&b, urban contemporary",1992,2019,20,6,Throwback Workout,1KGi9sZVMeszgZOWivFpxs
02/04/2024,6Iz3eq2aQGFf7TbGT2iahL,gabby barrett,4290551,62,331294,contemporary country,2018,2024,16,1,Country Gold,"23T0OX7QOiIUFShSzbJ5Uo, 3hLuHKzG1cmlRpq53ZVWd8, 23T0OX7QOiIUFShSzbJ5Uo, 3hLuHKzG1cmlRpq53ZVWd8, 7xNYZeFtrB05pi9tc6lEeb, 3hLuHKzG1cmlRpq53ZVWd8, 7xNYZeFtrB05pi9tc6lEeb, 23T0OX7QOiIUFShSzbJ5Uo"
02/04/2024,6qgnBH6iDM91ipVXv28OMu,kaytranada,6080915,69,1393698,"alternative r&b, escape room, indie soul, lgbtq+ hip hop",2016,2023,20,1,GLOW,5ahq8vkzMznGmfN2EVOukP
02/04/2024,1Xc3WbacoW8ISqReb7Hjpj,chapel hart,154428,38,63908,black americana,2019,2023,18,1,Women of Country,1A4sU22TOu9GUqQeZYqqoa
02/04/2024,7rEAvtkj6sNUlQXlYRldrs,sonja,770996,48,2070, dance ,2019,2024,10,1,Hardstyle Bangers,0YHL0wDP6b7ov6h0yEhorO
02/04/2024,1Ri5P0CfdNxdIkHX6es8Xd,polodared,64317,36,7766,korean trap,2021,2024,7,2,KrOWN,1dSoTjwGH9HBlj6EEu2mhx
02/04/2024,2ojqsY1ycYzZOpLDBBwHPU,homixide gang,1480201,64,344798,rage rap,2021,2024,13,1,Singled Out,1pq17iFsWxlcUMK3kHrCAr
02/04/2024,5FDFlNDmnGwmTB0broI9MA,jaden cohen,222736,43,65, jazz ,2023,2024,8,1,Jazz for Sleep,"6R1p1fumkttTWuMZqMLojv, 6ghT3bOc0eKBxvHf4FzLr9"
02/04/2024,738OS3zrCO782uDiUN9pet,lee ann womack,1845181,54,742607,"country, country dawn, country road",1997,2023,17,1,Women of Country,65B1tEOv5W294uCKbmEcFV
02/04/2024,26VEPCGAYB9OClQodb0OR1,tiera kennedy,4988621,62,15168,black americana,2020,2023,9,1,Women of Country,7eEr7lgWYudwEKEaWCPiPI
02/04/2024,5a2EaR3hamoenG9rDuVn8j,prince,10901175,70,7171956,"funk, funk rock, minneapolis sound, rock, synth funk",2007,2023,20,10,Ultimate Party Classics,62LJFaYihsdVrrkgUOJC05
02/04/2024,50w3lD1tVFon2IBD8jRBOO,harmonic pathways,395461,52,2102,high vibe,2021,2024,20,4,Meditate to the Sounds of Nature,3T4OHmowOZnJnBgXqg8YPQ
